V_sipm,V_led
0.001328905840097149,0.45000000000000007
0.0013527225105178778,0.55
0.0013646308457282426,0.6500000000000001
0.0013646308457282424,0.75
0.0013527225105178773,0.85
0.0013527225105178775,0.95
0.001388125669251394,1.05
0.0014000340044617585,1.15
0.0013881256692513948,1.25
0.00135272251051788,1.35
0.0013530443574154576,1.4500000000000002
0.0013887693630465498,1.55
0.001447989192200795,1.6500000000000001
0.001649787196981835,1.75
0.0018631716900756614,1.85
0.0023967938462590163,1.9500000000000002
0.0029542326728631,2.05
0.0038080924921359838,2.1500000000000004
0.004839611798871601,2.25
0.00623900210953821,2.35
0.00776906226062124,2.45
0.009144635900867117,2.55
0.010828860715889729,2.6500000000000004
0.012394645872603862,2.75
0.014055054017205745,2.85
0.015241059834778525,2.95
0.01692528464980115,3.05
0.018384216636519575,3.1500000000000004
0.019866643446761163,3.25
0.021515465103050264,3.35
0.023069341924554024,3.45
0.02426725607733716,3.55
0.025963389227570147,3.6500000000000004
0.0279321267000512,3.75
0.029486003521554963,3.85
0.030909210502642292,3.95
0.0324038674949918,4.05
0.03372022130608343,4.15
0.03474015412450626,4.25
0.036175269440803966,4.3500000000000005
0.03734936692316638,4.45
0.038488061246795276,4.55
0.03953181073563883,4.65
0.04069399988279088,4.75
0.04190382237078439,4.8500000000000005
0.043220498028773605,4.950000000000001
0.044738649844646275,5.05
0.04613804015531288,5.15
0.04735977097851675,5.25
0.04773922847076053,5.3500000000000005
0.04900827078790827,5.450000000000001
0.05002852545322868,5.55
0.05092969676644545,5.65
0.051901996244026825,5.75
0.053135313555543476,5.8500000000000005
0.05411984321523279,5.950000000000001
0.05385914722819508,6.05
0.055685628371946905,6.15
0.05659870802037403,6.25
0.05763022732710965,6.3500000000000005
0.058579031981167866,6.450000000000001
0.05847250065806974,6.55
0.05920792081903413,6.650000000000001
0.06007368897351739,6.75
0.06224390260388191,6.8500000000000005
0.06193557327600274,6.950000000000001
0.06261177360781289,7.05
0.0632287541104688,7.150000000000001
0.06429632026973309,7.25
0.06602785657869958,7.3500000000000005
0.06662102041093476,7.450000000000001
0.06742756873626377,7.55
0.06838828172553235,7.650000000000001
0.07014363470491958,7.75
0.07104480601813634,7.8500000000000005
0.07067693501420536,7.950000000000001
0.07122246550559908,8.05
0.07221858165360118,8.150000000000002
0.07365369696989887,8.25
0.07455486828311564,8.350000000000001
0.07513612378014045,8.450000000000001
0.07627481810376935,8.55
0.07575310428279636,8.650000000000002
0.0780897127592084,8.75
0.0790031142545331,8.850000000000001
0.0795962780867683,8.950000000000001
0.08027215657168085,9.05
0.08109061323222023,9.150000000000002
0.08221739922063878,9.25
0.08286946103513063,9.350000000000001
0.08522956433506582,9.45
0.08469594217888246,9.55
0.0852768758290097,9.650000000000002
